,location,date,total_deaths
378,United Arab Emirates,2020-02-26,0
379,United Arab Emirates,2020-02-27,0
380,United Arab Emirates,2020-02-28,0
381,United Arab Emirates,2020-02-29,0
382,United Arab Emirates,2020-03-01,0
383,United Arab Emirates,2020-03-02,0
384,United Arab Emirates,2020-03-04,0
385,United Arab Emirates,2020-03-06,0
386,United Arab Emirates,2020-03-08,0
387,United Arab Emirates,2020-03-10,0
388,United Arab Emirates,2020-03-11,0
389,United Arab Emirates,2020-03-13,0
390,United Arab Emirates,2020-03-15,0
391,United Arab Emirates,2020-03-16,0
392,United Arab Emirates,2020-03-17,0
393,United Arab Emirates,2020-03-18,0
394,United Arab Emirates,2020-03-19,0
395,United Arab Emirates,2020-03-20,0
396,United Arab Emirates,2020-03-21,0
397,United Arab Emirates,2020-03-22,2
398,United Arab Emirates,2020-03-23,2
399,United Arab Emirates,2020-03-24,2
400,United Arab Emirates,2020-03-25,2
401,United Arab Emirates,2020-03-26,2
402,United Arab Emirates,2020-03-27,2
403,United Arab Emirates,2020-03-28,2
404,United Arab Emirates,2020-03-29,2
405,United Arab Emirates,2020-03-30,2
406,United Arab Emirates,2020-03-31,5
407,United Arab Emirates,2020-04-01,6
408,United Arab Emirates,2020-04-02,6
409,United Arab Emirates,2020-04-03,8
410,United Arab Emirates,2020-04-04,8
411,United Arab Emirates,2020-04-05,10
412,United Arab Emirates,2020-04-06,10
413,United Arab Emirates,2020-04-07,11
414,United Arab Emirates,2020-04-08,12
415,United Arab Emirates,2020-04-09,12
416,United Arab Emirates,2020-04-10,14
417,United Arab Emirates,2020-04-11,16
418,United Arab Emirates,2020-04-12,20
419,United Arab Emirates,2020-04-13,22
420,United Arab Emirates,2020-04-14,25
421,United Arab Emirates,2020-04-15,28
422,United Arab Emirates,2020-04-16,33
423,United Arab Emirates,2020-04-17,33
424,United Arab Emirates,2020-04-18,35
425,United Arab Emirates,2020-04-19,37
426,United Arab Emirates,2020-04-20,41
427,United Arab Emirates,2020-04-21,43
428,United Arab Emirates,2020-04-22,46
429,United Arab Emirates,2020-04-23,52
430,United Arab Emirates,2020-04-24,56
431,United Arab Emirates,2020-04-25,64
432,United Arab Emirates,2020-04-26,64
433,United Arab Emirates,2020-04-27,76
434,United Arab Emirates,2020-04-28,82
435,United Arab Emirates,2020-04-29,89
436,Argentina,2020-03-04,0
437,Argentina,2020-03-06,0
438,Argentina,2020-03-07,0
439,Argentina,2020-03-08,1
440,Argentina,2020-03-09,1
441,Argentina,2020-03-11,1
442,Argentina,2020-03-13,1
443,Argentina,2020-03-14,2
444,Argentina,2020-03-15,2
445,Argentina,2020-03-16,2
446,Argentina,2020-03-17,2
447,Argentina,2020-03-18,2
448,Argentina,2020-03-19,2
449,Argentina,2020-03-20,3
450,Argentina,2020-03-21,3
451,Argentina,2020-03-22,4
452,Argentina,2020-03-23,4
453,Argentina,2020-03-24,4
454,Argentina,2020-03-25,6
455,Argentina,2020-03-26,8
456,Argentina,2020-03-27,12
457,Argentina,2020-03-28,17
458,Argentina,2020-03-29,19
459,Argentina,2020-03-30,20
460,Argentina,2020-03-31,24
461,Argentina,2020-04-01,24
